"City","City Area (km2)","Metro Area (km2)","People","City Population (millions)","Metro Population (millions)","Foreign Born","Annual Population Growth","Economy","GDP Per Capita (thousands $, PPP rates, per resident)","Primary Industry","Secondary Industry","Share of Global 500 Companies (%)","Unemployment Rate","Poverty Rate","Transportation","Public Transportation","Mass Transit Commuters","Major Airports","Major Ports","Education","Students Enrolled in Higher Education","Percent of Population with Higher Education (%)","Higher Education Institutions","Tourism","Total Tourists Annually (millions)","Foreign Tourists Annually (millions)","Domestic Tourists Annually (millions)","Annual Tourism Revenue ($US billions)","Hotel Rooms (thousands)","Health","Infant Mortality (Deaths per 1,000 Births)","Life Expectancy in Years (Male)","Life Expectancy in Years (Female)","Physicians per 100,000 People","Number of Hospitals","Anti-Smoking Legislation","Culture","Number of Museums","Number of Cultural and Arts Organizations","Environment","Green Spaces (km2)","Air Quality*","Laws or Regulations to Improve Energy Efficiency","Retrofitted City Vehicle Fleet","Bike Share Program"
"London","321","1584","London","8.2","9.01","0.37","0.0085","London","52","Real Estate & Rental & Leasing","Finance & Insurance","0.032","0.083","0.16","London","Subway, Bus, Rail, Ferry, Cycling, Bikeshare","0.499","5","1","London","402410","0.31","40","London","26.3","15.2","11.1","19","100.12","London","4.6","79","83.3","-----","255","Yes","London","237","307","London","0.1386","29","Yes","Yes","Yes"
"Amsterdam","165","807","Amsterdam","0.76","1.4","0.4728","0.0118","Amsterdam","46","Research and Advising","Health Services and Welfare","0.01","0.054","0.178","Amsterdam","Tram, Metro, Bus, Ferry","-----","1","1","Amsterdam","53562","-----","23","Amsterdam","4.62","3.65","0.97","-----","45.9","Amsterdam","4.12","76.3","80.8","269.2","7","Yes","Amsterdam","68","141","Amsterdam","0.574","24","Yes","No","No"
"Ankara","30.72","25437","Ankara","3.54","4.77","-----","0.2567","Ankara","21.2","Wholesale and Retail Trade","Manufacturing","","0.121","-----","Ankara","Bus, Subway, Rail","-----","1","-----","Ankara","169088","0.193","10","Ankara","0.76","0.33","0.43","-----","3.87","Ankara","-----","-----","-----","-----","7","Yes","Ankara","36","-----","Ankara","0.071","46","No","No","No"
"Athens","38.91","380.692","Athens","0.66","4.01","0.22","-----","Athens","30.5","-----","-----","","0.162","-----","Athens","Train, Bus, Trolleybus, Tram, Metro, Ferry","-----","1","1","Athens","-----","-----","-----","Athens","-----","2.1","-----","2.7","16.5","Athens","8.37","-----","-----","-----","23","Yes","Athens","47","-----","Athens","-----","41","Yes","-----","No"
"Bangkok","1569","7762","Bangkok","5.72","6.5","0.2","0.031","Bangkok","23.4","Agriculture","Manufacturing, Professional Services","0.002","0.022","0.0007","Bangkok","Bus, Sky Train, Subway, Train, Bikeshare","-----","2","1","Bangkok","1015172","0.52","37","Bangkok","26.89","10.84","16.04","$10.99","60.59","Bangkok","5.7","69","74","-----","173","-----","Bangkok","27","-----","Bangkok","0.2358","54","Yes","Yes","Yes"
"Barcelona","102.6","3236","Barcelona","1.62","3.23","0.21","0.0125","Barcelona","36.3","Services","Construction","0.002","0.154","0.201","Barcelona","Bus, Rail, Subway, Bikeshare","0.422","1","1","Barcelona","187179","0.24","8","Barcelona","19.29","13.29","6","-----","31.88","Barcelona","9.4","79","85.2","-----","45","Yes","Barcelona","69","-----","Barcelona","0.056","35","Yes","-----","Yes"
"Beijing","92.54","16410.54","Beijing","14.39","19.62","0.0046","0.038","Beijing","20.3","Wholesale & Retail","Finance","0.082","0.0137","0.0084","Beijing","Bus, Rail, Subway, Bike","-----","1","-----","Beijing","15700000","0.0005","89","Beijing","184.9","4.9","180","40.88","638","Beijing","3.29","79","83","355","551","Yes","Beijing","156","405","Beijing","0.0045","121","Yes","-----","No"
"Berlin","892","30373","Berlin","3.44","4.97","0.141","0.0032","Berlin","33.3","Finance, Rental & Leasing","Transportation, Manufacturing, Tourism","0.002","0.155","-----","Berlin","Bus, Rail, Subway, Tram, Bikeshare","-----","2","2","Berlin","134504","0.148","30","Berlin","8.26","2.88","5.38","$12.57","104483","Berlin","3.9","82","88","176","79","Yes","Berlin","170","506","Berlin","0.362","26","-----","-----","Yes"
"Bogota","1732","-----","Bogota","7.44","9.1","-----","0.0141","Bogota","15.9","Manufacturing","Finance and Insurance","0.002","0.096","0.22","Bogota","Bus","0.26","1","-----","Bogota","150546","0.21","19","Bogota","-----","0.69","-----","-----","7.55","Bogota","16.89","74.6","79.7","-----","22","-----","Bogota","76","-----","Bogota","-----","77","Yes","-----","-----"
"Boston","125.4","5236","Boston","0.62","3.5","0.27","0.01","Boston","69.3","Professional, Scientific and Technical Services","Retail, Trade","0.002","0.066","0.169","Boston","Bus, Metro, Rail, Ferry","0.317","1","1","Boston","152000","0.245","35","Boston","19.3","1.14","18.16","$7.2","14.34","Boston","5.8","74.8","81.1","-----","12","Yes","Boston","30","-----","Boston","0.158","17","Yes","Yes","No"
